v0,k,theta,rho,eta
0.03,0.8,0.05,-0.5,0.3
0.0027903493531838655,0.7994613487214567,0.02853267577618363,-0.500070583182002,0.30245450514423095
0.0033993901304132383,0.798958466588689,0.008662659799608712,-0.500154825529256,0.30468991327995953
0.004105888650948427,0.798513832439244,0.006275269773769204,-0.5002540884501495,0.30659513384050824
0.004412876586479737,0.7979575630171447,0.006813135612776745,-0.5003915450838653,0.30887512768990855
0.004838010232862289,0.7960192275090231,0.007640395167795911,-0.500900418341628,0.31642720139963587
0.001004775318666175,0.7981164261964496,0.04524012497530619,-0.4974365801688162,0.3042451427954025
0.005331072308914208,0.7924267306454877,0.008526798065415966,-0.5021216265573271,0.32805746311190376
0.005370490261673609,0.7906972062335246,0.008648571776933213,-0.5027635585410074,0.33276956201474384
0.001,0.7927339960193351,0.027944030553515076,-0.5010553650173524,0.3234202910203549
0.001,0.788008989468842,0.02181487208683826,-0.5031944548871616,0.33521529383863274
0.001,0.7840242745799068,0.01864034064030237,-0.5050126678817254,0.34311904641951907
0.001,0.7829969003477015,0.015856560328702998,-0.5094982523767064,0.34553205958733213
0.001,0.7745924831688664,0.014350021159036799,-0.5099364891953599,0.3584675173480492
0.006029447657517237,0.77001512602193,0.00991414836430573,-0.514583798703493,0.36639437674340947
0.006475544759171313,0.7873678320275711,0.010276850333539202,-0.5083961565341762,0.3298153989394473
0.0068329824134691075,0.783161762987002,0.010623161205781906,-0.5093572662939037,0.3380113411849455
0.0064002147460796655,0.7912436237258554,0.010110327693986091,-0.5044693202476052,0.31971171068884063
